tipo_fila,categoria,dep_sol_principal,conteo_episodios,conteo_episodios_con_req,num_requisiciones,monto_total_requisiciones,tiempo_promedio_alta_admin_horas,nivel_retraso_predominante,promedio_requisiciones_por_episodio,pct_con_requisiciones,promedio_items_por_requisicion,episodio_id,folio,ext,descripcion
kpi,global,,30203.0,14651.0,,102391264.64,17.94,Rapido,2.7,48.51,17.67,,,,KPI globales de requisiciones
por_departamento,CAG,CAG,20.0,,41.0,111226.04,50.56,Rapido,,,,,,,
por_departamento,LPM,LPM,53.0,,205.0,191269.11,38.99,Rapido,,,,,,,
por_departamento,MAL,MAL,781.0,,7160.0,32041463.55,36.74,Rapido,,,,,,,
por_departamento,LAB,LAB,2223.0,,2759.0,5304739.66,26.88,Rapido,,,,,,,
por_departamento,IMA,IMA,2225.0,,3191.0,9868502.49,26.03,Rapido,,,,,,,
por_departamento,IMP,IMP,699.0,,1059.0,2747187.17,24.98,Rapido,,,,,,,
por_departamento,CEX,CEX,37.0,,71.0,37131.18,21.42,Rapido,,,,,,,
por_departamento,CJA,CJA,37.0,,79.0,64329.34,20.62,Moderado,,,,,,,
por_departamento,FAR,FAR,3687.0,,5790.0,3677095.54,19.23,Rapido,,,,,,,
por_departamento,IMT,IMT,163.0,,384.0,758831.43,18.43,Rapido,,,,,,,
por_departamento,SUB,SUB,858.0,,7246.0,26477375.53,17.73,Rapido,,,,,,,
por_departamento,FPM,FPM,335.0,,2407.0,3801258.78,13.88,Rapido,,,,,,,
por_departamento,LAP,LAP,298.0,,555.0,1112857.88,13.78,Rapido,,,,,,,
por_departamento,SER,SER,274.0,,758.0,3162080.9,13.37,Rapido,,,,,,,
por_departamento,CAF,CAF,1302.0,,2079.0,1139558.37,12.38,Rapido,,,,,,,
por_departamento,CGT,CGT,5.0,,14.0,8463.94,11.89,Rapido,,,,,,,
por_departamento,FAM,FAM,78.0,,234.0,287519.85,11.63,Rapido,,,,,,,
por_departamento,ICU,ICU,2.0,,5.0,10115.98,10.47,Rapido,,,,,,,
por_departamento,SEM,SEM,3.0,,16.0,13635.85,9.75,Rapido,,,,,,,
por_departamento,IPM,IPM,102.0,,284.0,319883.42,9.1,Rapido,,,,,,,
por_departamento,CEP,CEP,3.0,,7.0,5039.82,8.16,Rapido,,,,,,,
por_departamento,SPM,SPM,23.0,,130.0,213386.3,6.79,Rapido,,,,,,,
por_departamento,PTU,PTU,8.0,,8.0,2627.76,5.65,Rapido,,,,,,,
