tpo,des,area,edo_csa,tpo_comp,tpo_cuidado,fac_ama,fac,num_hab,buf
AISCZM,AISLADOS       ,CZM,N,N,S,0,0,2,AISCZM        SHOSA 
CAMCZM,CAMILLAS URG   ,CZM,N,N,N,0,0,5,CAMCZM        NURGA 
CAMMAH,URGENCIAS MAH  ,MAH,N,N,N,0,0,5,CAMMAH        NURAA 
CAMPLY,CAMILLAS URG   ,PLY,N,N,N,0,0,5,CAMPLY        NURPA 
CEHCPY,CEXH CARACOL   ,PLY,N,N,N,0,0,10,CEHCPY        NCHSA 
CEHFPY,CEXH DORADO PLY,PLY,N,N,N,0,0,10,CEHFPY        NHFPA 
CEHHPP,CEXH PALACE    ,PLY,N,N,N,0,0,1,CEHHPP        NHPPA 
CEHPPY,CEXH PLAYACAR  ,PLY,N,N,N,0,0,1,              NHPAA 
CEURA ,CONSULT URG MAH,MAH,N,N,N,0,0,10,CEURA         NURAA 
CEURG ,CONSULT URG TUL,TUL,N,N,N,0,0,20,CEURG         NURTA 
CEURM ,CONSULT URG PTM,PTM,N,N,N,0,0,10,CEURM         NURMA 
CEURP ,CONSULT URG PLY,PLY,N,N,N,0,0,50,CEURP         NURPA 
CEXCUN,CONSULT EXT CUN,CUN,N,N,N,0,0,5,CEXCUN        NCUNA 
CEXCZM,CONSULT EXT CZM,CZM,N,N,N,0,0,80,CEXCZM        NCEXA 
CEXMAH,CONSULT EXT MAH,MAH,N,N,N,0,0,5,CEXMAH        NCEMA 
CEXPLY,CONSULT EXT PLY,PLY,N,N,N,0,0,90,CEXPLY        NCESA 
CEXPTM,CONSULT EXT PTM,PTM,N,N,N,0,0,10,CEXPTM        NCEPA 
CEXTUL,CONSULT EXT TUL,TUL,N,N,N,0,0,10,CEXTUL        NCETA 
CHOTUL,CHOQUE TUL     ,TUL,N,N,N,0,0,1,CHOTUL        NURTA 
COLCUN,COLONOSCOPIA CU,CUN,N,S,N,0,0,10,COLCUN        NHOCA 
COLCZM,COLONOSCOPIA   ,CZM,N,N,N,0,0,1,COLCZM        NHOSA 
CUNCZM,CUNEROS        ,CZM,N,N,N,0,0,18,CUNCZM        SHOSA 
CUNPLY,CUNEROS        ,PLY,N,N,N,0,0,16,CUNPLY        SHOPA 
CUNTUL,CUNEROS        ,TUL,N,N,N,0,0,4,CUNTUL        SHPTA 
CURG  ,CONSULT URG CZM,CZM,N,N,N,0,0,50,CURG          NURGA 
DCZCZM,DENTAL CZM     ,CZM,N,N,N,0,0,30,              NDCZA 
DENPTM,DENTAL PTM     ,PTM,N,N,N,0,0,1,              NDEPA 
DPYPLY,DENTAL PLY     ,PLY,N,N,N,0,0,10,DPYPLY        NDPYA 
ENDCUN,ENDOSCOPIA CUN ,CUN,N,S,N,0,0,10,ENDCUN        NHOCA 
ENDCZM,ENDOSCOPIA CZM ,CZM,N,S,N,0,0,4,ENDCZM        NHOSA 
ENDPLY,ENDOSCOPIA PLY ,PLY,N,S,N,0,0,10,ENDPLY        NHOPA 
ETGCZM,ENF TRAS GLOBAL,CZM,N,N,I,0,0,1,ETGCZM        SHOSA 
EVEDEP,EVENT DEPORTIVO,CZM,N,N,N,0,0,50,EVEDEP        NURGA 
HIDCZM,HIDRATACION    ,CZM,N,N,N,0,0,2,HIDCZM        NURGA 
HIDPLY,HIDRATACION    ,PLY,N,N,N,0,0,2,HIDPLY        NURPA 
LABCZM,LABOR          ,CZM,N,N,N,0,0,1,LABCZM        NHOSA 
MATCZM,MATERNIDAD     ,CZM,N,N,N,0,0,1,MATCZM        SHOSA 
PAMCUN,PROCE AMBULATOR,CUN,N,S,N,0,0,5,PAMCUN        NHOCA 
PAMCZM,PROCE AMBULATOR,CZM,N,S,N,0,0,2,PAMCZM        SHOSA 
